epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.1708,1.08335,0.86726,1,0.39066,0.000409226,0.000409226,0.000409226
2,12.1397,0.38194,0.95575,1,0.18781,0.000785011,0.000785011,0.000785011
3,17.6837,0.36994,0.94248,1,0.1663,0.00111955,0.00111955,0.00111955
4,23.0552,0.47503,0.94248,1,0.17472,0.00106437,0.00106437,0.00106437
5,28.4062,0.35277,0.96018,1,0.11779,0.0010025,0.0010025,0.0010025
6,34.0448,0.37055,0.96018,1,0.11591,0.000940625,0.000940625,0.000940625
7,40.0468,0.32119,0.96903,1,0.07756,0.00087875,0.00087875,0.00087875
8,45.3842,0.25953,0.96018,1,0.11376,0.000816875,0.000816875,0.000816875
9,50.6352,0.29069,0.96018,1,0.11093,0.000755,0.000755,0.000755
10,56.1493,0.23327,0.96018,1,0.09014,0.000693125,0.000693125,0.000693125
11,61.518,0.25704,0.95575,1,0.14885,0.00063125,0.00063125,0.00063125
12,66.803,0.20862,0.9646,1,0.11478,0.000569375,0.000569375,0.000569375
13,72.0298,0.17459,0.96903,1,0.11898,0.0005075,0.0005075,0.0005075
14,77.6864,0.20812,0.9469,1,0.14451,0.000445625,0.000445625,0.000445625
15,83.5409,0.13028,0.97345,1,0.11517,0.00038375,0.00038375,0.00038375
16,89.5867,0.16971,0.97788,1,0.08755,0.000321875,0.000321875,0.000321875
17,95.5911,0.14558,0.97345,1,0.06733,0.00026,0.00026,0.00026
18,101.33,0.1438,0.96903,1,0.06939,0.000198125,0.000198125,0.000198125
19,107.147,0.13316,0.97788,1,0.0623,0.00013625,0.00013625,0.00013625
20,112.78,0.1321,0.97345,1,0.065,7.4375e-05,7.4375e-05,7.4375e-05
